"키","명칭","행정 시","행정 구","행정 동"
"BE_IW04-0232","Sword in the Moon Filming site","Jeollanam-do","Damyang-gun","Geumseong-myeon"
"BE_IW04-0233","Sword in the Moon Filming site","","",""
"BE_IW04-0234","Cheonghaejin Port","Jeollanam-do","Wando-gun","Wando-eup"
"BE_IW04-0235","Chowon Photo Studio","","",""
"BE_IW04-0236","Filming site","Gyeonggi-do","Yangju-si","Yangju2-dong"
"BE_IW04-0237","Chunhyangdyeon Filming site","","",""
"BE_IW04-0238","Chunhyangdyeon Filming site","Jeollabuk-do","Namwon-si","Noam-dong"
"BE_IW04-0239","Chwihwaseon Filming site","Gyeongsangnam-do","Hadong-gun","Jingyo-myeon"
"BE_IW04-0240","Chwihwaseon Filming site","Jeollanam-do","Suncheon-si","Seungju-eup"
"BE_IW04-0241","Friend Filming site","Busan","Saha-gu","Hadan1-dong"
"BE_IW04-0242","Friend Filming site","","",""
"BE_IW04-0243","Friend Filming site","","",""
"BE_IW04-0244","Sassy Girl Chun-hyang Filming site","Jeollabuk-do","Namwon-si","Noam-dong"
"BE_IW04-0245","Classic Filming site","Gyeonggi-do","Suwon-si Paldal-gu","Haenggung-dong"
"BE_IW04-0246","Classic Filming site","","",""
"BE_IW04-0247","Taegukgi Hwinallimyo Filming site","Gyeongsangnam-do","Hapcheon-gun","Gahoe-myeon"
"BE_IW04-0248","Taegukgi Hwinallimyo Filming site","","",""
"BE_IW04-0249","Taegukgi Hwinallimyo Filming site","","",""
"BE_IW04-0250","The Taebaek Mountains Filming site","Jeollanam-do","Jangseong-gun","Bugil-myeon"
"BE_IW04-0251","Swallow the Sun Filming site","","",""
"BE_IW04-0252","The Legend Filming site","Gyeongsangnam-do","Sancheon-gun","Chahwang-myeon"
"BE_IW04-0253","The Legend Filming site(Myosanbong)","Jeju-do","Jeju-si","Gujwa-eup"
"BE_IW04-0254","The Legend Filming site","Jeju-do","Jeju-si","Gujwa-eup"
"BE_IW04-0255","The Legend Filming site","","",""
"BE_IW04-0256","The Legend Filming site","Chungcheongbuk-do","Danyang-gun","Yeongchun-myeon"
"BE_IW04-0257","Taejo Wang Geon Filming site(Mungyeong)","Gyeongsangbuk-do","Mungyeong-si","Mungyeong-eup"
"BE_IW04-0258","Taejo Wang Geon Filming site(On the sea)","","",""
"BE_IW04-0259","The Land Filming site","Gangwon-do","Hoengseong-gun","Ucheon-myeon"
"BE_IW04-0260","Fantastic Studio","Gyeonggi-do","Bucheon-si Wonmi-gu","Sang3-dong"
"BE_IW04-0261","Into the Storm Filming site","Gyeongsangbuk-do","Uljin-gun","Jukbyeon-myeon"
"BE_IW04-0262","Full House Filming site","Incheon","Ongjin-gun","Bukdo-myeon"
"BE_IW04-0263","Lovers In Prague Filming site","Jeollabuk-do","Buan-gun","Julpo-myeon"
"BE_IW04-0264","Garden of Heaven Filming site","","",""
"BE_IW04-0265","Garden of Heaven Filming site","","",""
"BE_IW04-0266"," Hapcheon Image Theme Park","Gyeongsangnam-do","Hapcheon-gun","Yongju-myeon"
"BE_IW04-0267"," Hapcheon Image Theme Park","","",""
"BE_IW04-0268"," Hapcheon Image Theme Park","","",""
"BE_IW04-0269","Emperor of the Sea Filming site","","",""
"BE_IW04-0270","Emperor of the Sea Filming site","","",""
"BE_IW04-0271","Emperor of the Sea Filming site(Shillabang)","Jeollanam-do","Wando-gun","Gunoe-myeon"
"BE_IW04-0272","Emperor of the Sea Filming site","Jeollanam-do","Wando-gun","Wando-eup"
"BE_IW04-0273","Emperor of the Sea Filming site","","",""
"BE_IW04-0274","Hur JunHouse of Exile Filming site","","",""
"BE_IW04-0275","Hur Jun Filming site","","",""
"BE_IW04-0276","The Unforgettable Times Filming site","","",""
"BE_IW04-0277","The Unforgettable Times Filming site","","",""
"BE_IW04-0278","Hwawangsan Filming site","Gyeongsangnam-do","Changnyeong-gun","Changnyeong-eup"
"BE_IW04-0279","Couple of Trouble Filming site","","",""
"BE_IW04-0280","Couple of Trouble Filming site","","",""
"BE_IW04-0281","Couple of Trouble Filming site","","",""
"BE_IW04-0282","Couple of Trouble Filming site","","",""
"BE_IW04-0283","Couple of Trouble Filming site","","",""
"BE_IW04-0284","Golden Apple Filming site","","",""
"BE_IW04-0285","Hwamaesan Filming theme park","Gyeongsangnam-do","Sancheon-gun","Chahwang-myeon"
"BE_IW04-0286","Hwang Jini Filming site","Gyeongsangbuk-do","Yecheon-gun","Yongmun-myeon"
"BE_IW04-0001","[LoveLetter] set for films","","",""
"BE_IW04-0002","[The Road Taken] set for films","Jeollanam-do","Yeosu-si","Dolsan-eup"
"BE_IW04-0003","[Swallow the sun] set for films","Jeju-do","Seogwipo-si","Namwon-eup"
"BE_IW04-0004","[101th propose] set for films","Chungcheongnam-do","Taean-gun","Wonbuk-myeon"
"BE_IW04-0005","DIMA General set for films","Gyeonggi-do","Anseong-si","Samjuk-myeon"
"BE_IW04-0006","KBS Drama set for films","","",""
"BE_IW04-0007","KBS jecheon set for films","Chungcheongbuk-do","Jecheon-si","Geumseong-myeon"
"BE_IW04-0008","KBS marine set for films","","",""
"BE_IW04-0009","KBS Hutos Outside set for films","Gyeongsangbuk-do","Bonghwa-gun","Bonghwa-eup"
"BE_IW04-0010","MBC Drama Hwajeong set for films","","",""
"BE_IW04-0011","MBC Drama Hwajeong set for films","","",""
"BE_IW04-0012","SBS Drama Dream set for films","Busan","Gijang-gun","Gijang-eup"
"BE_IW04-0013","SBS Maewoldae Outside set for films","","",""
"BE_IW04-0014","SBS set for films","Chungcheongbuk-do","Jecheon-si","Geumseong-myeon"
"BE_IW04-0015","TV Drama SeonTeak set for films","","",""
"BE_IW04-0016","YEG Production","Gyeonggi-do","Icheon-si","Majang-myeon"
"BE_IW04-0017","YMCA Yagudan set for films","","",""
"BE_IW04-0018","YMCA Yagudan set for films","Gyeongsangbuk-do","Andong-si","Pungcheon-myeon"
"BE_IW04-0019","YMCA Yagudan set for films","","",""
"BE_IW04-0020","Gaeun Open Fliming Site","Gyeongsangbuk-do","Mungyeong-si","Gaeun-eup"
"BE_IW04-0021","Gaeuldonghwa set for films","Gangwon-do","Sokcho-si","Joyang-dong"
"BE_IW04-0022","Gaeuldonghwa set for films","","",""
"BE_IW04-0023","Gaeuldonghwa set for films","Gangwon-do","Goseng-gun","Geojin-eup"
"BE_IW04-0024","Gaeuldonghwa set for films","Gyeongsangbuk-do","Yecheon-gun","Yonggung-myeon"
"BE_IW04-0025","Gaeuldonghwa set for films JiEunSeo's House","","",""
"BE_IW04-0026","Gaeullo set for films","Gyeongsangbuk-do","Pohang-si Buk-gu","Jukjang-myeon"
"BE_IW04-0027","Architecture 101 set for films","","",""
"BE_IW04-0028","Architecture 101 set for films hangain's house","Jeju-do","Seogwipo-si","Namwon-eup"
"BE_IW04-0029","Gyeoulyeonga set for films","Gangwon-do","Pyeongchang-gun","Daegwallyeong-myeon"
"BE_IW04-0030","Gyeoulyeonga set for films","","",""
"BE_IW04-0031","Gyeoulyeonga set for films","","",""
"BE_IW04-0032","Gyeoulyeonga set for films","","",""
"BE_IW04-0033","Gomabsubnida set for films","","",""
"BE_IW04-0034","Goyang Aqua studio","","",""
"BE_IW04-0035","Joint Security Area set for films","","",""
"BE_IW04-0036","Gwanghuimun Gate","Chungcheongbuk-do","Jecheon-si","Cheongpung-myeon"
"BE_IW04-0037","Gureumgyedan set for films","","",""
"BE_IW04-0038","The Original Seodo Station Set","Jeollabuk-do","Namwon-si","Samae-myeon"
"BE_IW04-0039","Guseon Fliming Site","","",""
"BE_IW04-0040","Gung set for flim","","",""
"BE_IW04-0041","Gunghangjeonrajoasuyeong","Jeollabuk-do","Buan-gun","Byeonsan-myeon"
"BE_IW04-0042","Geudaegeurigona set for flim","Gyeongsangbuk-do","Yeongdeok-gun","Ganggu-myeon"
"BE_IW04-0043","Guemsan DaeJangGeum set for film","Chungcheongnam-do","Geumsan-gun","Buri-myeon"
"BE_IW04-0044","Naju Image Theme Park","Jeollanam-do","Naju-si","Gongsan-myeon"
"BE_IW04-0045","KOFIC Namyangju Studios","","",""
"BE_IW04-0046","KOFIC Namyangju Studios","Gyeonggi-do","Namyangju-si","Joan-myeon"
"BE_IW04-0047","KOFIC Namyangju Studios 3rd Studio","","",""
"BE_IW04-0048","The Harmonium In My Memory set for film","","",""
"BE_IW04-0049","NeonEoneuByeolEseoWatni set for film","Gangwon-do","Jeongseon-gun","Sin-eup"
"BE_IW04-0050","naemeotdaerohaera set for flim","","",""
"BE_IW04-0051","nuna set for flim","","",""
"BE_IW04-0052","damo daejanggeum set for flim","","",""
"BE_IW04-0053","damo set for flim","","",""
"BE_IW04-0054","Gingko Bed 2","Gyeongsangnam-do","Sancheon-gun","Chahwang-myeon"
"BE_IW04-0055","Gingko Bed 2 set for flim","Jeju-do","Jeju-si","Gujwa-eup"
"BE_IW04-0056","Gingko Bed 3 set for flim","","",""
"BE_IW04-0057","Let's Play Dharma set for flim","","",""
"BE_IW04-0058","bamboo grove One Fine Spring Day set for film","","",""
"BE_IW04-0059","Daemang set for flim","","",""
"BE_IW04-0060","DaewangSejong set for flim","","",""
"BE_IW04-0061","Daejanggeum set for flim","","",""
"BE_IW04-0062","Daejanggeum set for flim","","",""
"BE_IW04-0063","Daejanggeum set for flim","Jeollanam-do","Gurye-gun","Toji-myeon"
"BE_IW04-0064","Daejanggeum set for flim","","",""
"BE_IW04-0065","Daejanggeum Theme Park","","",""
"BE_IW04-0066","Daejoyeong set for flim","","",""
"BE_IW04-0067","Daechunamusaranggeollyeotne set for flim","Chungcheongbuk-do","Jincheon-gun","Munbaek-myeon"
"BE_IW04-0068","dolawayosuneasi set for flim","","",""
"BE_IW04-0069","donggam set for flim","","",""
"BE_IW04-0070","A Little Monk set for flim","","",""
"BE_IW04-0071","Drama KotbodaNamja set for flim","","",""
"BE_IW04-0072","Drama Fliming Site","Chungcheongbuk-do","Goesan-gun","Cheongcheon-myeon"
"BE_IW04-0073","Drama Yeonggwanguijaein set for flim","","",""
"BE_IW04-0074","Drama set for flim","","",""
"BE_IW04-0075","LovingYou set for flim","Jeju-do","Jeju-si","Jocheon-eup"
"BE_IW04-0076","LovingYou set for flim","","",""
"BE_IW04-0077","LovingYou set for flim","Jeju-do","Jeju-si","Hangyeong-myeon"
"BE_IW04-0078","Romance set for flim","","",""
"BE_IW04-0079","Romance set for flim","","",""
"BE_IW04-0080","Romance set for flim","","",""
"BE_IW04-0081","Romance set for flim","","",""
"BE_IW04-0082","MyGirl set for flim","Jeju-do","Seogwipo-si","Seongsan-eup"
"BE_IW04-0083","MyGirl set for flim","","",""
"BE_IW04-0084","MyGirl set for flim","","",""
"BE_IW04-0085","Mapado set for flim","Jeollanam-do","Yeonggwang-gun","Baeksu-eup"
"BE_IW04-0086","Ticket Office","Chungcheongnam-do","Buyeo-gun","Chunghwa-myeon"
"BE_IW04-0087","Moraesigye set for flim","","",""
"BE_IW04-0088","mudaemadang","","",""
"BE_IW04-0089","muinsidae set for flim","Gyeongsangbuk-do","Mungyeong-si","Mungyeong-eup"
"BE_IW04-0090","Secret Sunshine Fliming Site","","",""
"BE_IW04-0091","Secret Sunshine set for flim","","",""
"BE_IW04-0092","BaramuiNara","Gyeongsangnam-do","Sancheon-gun","Chahwang-myeon"
"BE_IW04-0093","BaramuiEondeok","Gyeongsangnam-do","Geoje-si","Nambu-myeon"
"BE_IW04-0094","Peppermint Candy set for film","Chungcheongbuk-do","Jecheon-si","Baegun-myeon"
"BE_IW04-0095","Baekmanjangjawagyelhonhagi set for flim","Jeju-do","Seogwipo-si","Pyoseon-myeon"
"BE_IW04-0096","Bungee Jumping Of Their Onw set for flim","","",""
"BE_IW04-0097","Bungee Jumping Of Their Onw set for flim","","",""
"BE_IW04-0098","One Fine Spring Day set for flim","Gangwon-do","Samcheok-si","Geundeok-myeon"
"BE_IW04-0099","Bomnal set for flim","Jeju-do","Jeju-si","Hallim-eup"
"BE_IW04-0100","Bomyeoreumgaeulgyeulguerigobom","Gyeongsangbuk-do","Cheongsong-gun","Budong-myeon"
"BE_IW04-0101","Bomyeoreumgaeulgyeulguerigobom Fliming Site","Gangwon-do","Pyeongchang-gun","Daegwallyeong-myeon"
"BE_IW04-0102","Bomyeoreumgaeulgyeulguerigobom set for flim","","",""
"BE_IW04-0103","BomuiWaltz set for flim","Jeollanam-do","Wando-gun","Cheongsan-myeon"
"BE_IW04-0104","Busan Movie Studio","Busan","Haeundae-gu","U1-dong"
"BE_IW04-0105","Bucheon entertainment park ","Gyeonggi-do","Bucheon-si Wonmi-gu","Sang3-dong"
"BE_IW04-0106","Bucheon Fantastic Studio","","",""
"BE_IW04-0107","BulmyeluiYiSunShin set for flim","Jeollabuk-do","Buan-gun","Julpo-myeon"
"BE_IW04-0108","Bulsae set for flim","","",""
"BE_IW04-0109","Bulsae set for flim","","",""
"BE_IW04-0110","Bulsae set for flim","","",""
"BE_IW04-0111","Buram set for flim","","",""
"BE_IW04-0112","Sanbul set for flim","Jeollanam-do","Damyang-gun","Yong-myeon"
"BE_IW04-0113","Sangdo set for flim","Gyeongsangbuk-do","Sangju-si","Sabeol-myeon"
"BE_IW04-0114","Sangdo set for flim","Jeollabuk-do","Gochang-gun","Asan-myeon"
"BE_IW04-0115","Sangdo set for flim","","",""
"BE_IW04-0116","Sangdo set for flim","","",""
"BE_IW04-0117","Sangdo set for flim","Gyeongsangbuk-do","Sangju-si","Jungdong-myeon"
"BE_IW04-0118","Sangdo set for flim","","",""
"BE_IW04-0119","Seodongsaengga","","",""
"BE_IW04-0120","Seodongyo Open Fliming Site","Chungcheongnam-do","Buyeo-gun","Chunghwa-myeon"
"BE_IW04-0121","Seodongyo Open Fliming Site 2","Jeollabuk-do","Iksan-si","Yeosan-myeon"
"BE_IW04-0122","Seodongyo set for flim","","",""
"BE_IW04-0123","Seodongyo set for flim","Chungcheongnam-do","Buyeo-gun","Buyeo-eup"
"BE_IW04-0124","Seodongyo set for flim","","",""
"BE_IW04-0125","Seodongyo set for flim","Chungcheongnam-do","Buyeo-gun","Chunghwa-myeon"
"BE_IW04-0126","Seodongyo set for flim","","",""
"BE_IW04-0127","Seodongyo Theme Park","","",""
"BE_IW04-0128","Seodongyo Theme Park Ticket Office","","",""
"BE_IW04-0129","Seul 1945 set for flim","","",""
"BE_IW04-0130","Seopyeonje set for flim","Jeollanam-do","Wando-gun","Cheongsan-myeon"
